Année,Examen,Code,DREN/DDEN,Catégorie,Genre ,Effectif
2016,CEPE,11,ABENGOUROU,Présents,Fille,4500
2016,CEPE,12,ABIDJAN  1,Présents,Fille,9120
2016,CEPE,31,ABIDJAN  2,Présents,Fille,11468
2016,CEPE,40,ABIDJAN  3,Présents,Fille,16175
2016,CEPE,41,ABIDJAN  4,Présents,Fille,14005
2016,CEPE,21,ABOISSO,Présents,Fille,4019
2016,CEPE,32,ADZOPE,Présents,Fille,5581
2016,CEPE,22,AGBOVILLE,Présents,Fille,3083
2016,CEPE,13,BONDOUKOU,Présents,Fille,6742
2016,CEPE,50,BONGOUANOU,Présents,Fille,3702
2016,CEPE,34,BOUAFLE,Présents,Fille,4869
2016,CEPE,14,BOUAKE  1,Présents,Fille,2468
2016,CEPE,49,BOUAKE  2,Présents,Fille,6600
2016,CEPE,24,BOUNA,Présents,Fille,1338
2016,CEPE,27,BOUNDIALI,Présents,Fille,2291
2016,CEPE,33,DABOU,Présents,Fille,3767
2016,CEPE,15,DALOA,Présents,Fille,9506
2016,CEPE,47,DANANE,Présents,Fille,2379
2016,CEPE,45,DAOUKRO,Présents,Fille,3096
2016,CEPE,30,DIMBOKRO,Présents,Fille,2450
2016,CEPE,23,DIVO,Présents,Fille,7464
2016,CEPE,53,DUEKOUE,Présents,Fille,4782
2016,CEPE,48,FERKESSEDOUGOU,Présents,Fille,2729
2016,CEPE,26,GAGNOA,Présents,Fille,7899
2016,CEPE,51,GRAND-BASSAM,Présents,Fille,2594
2016,CEPE,28,GUIGLO,Présents,Fille,2943
2016,CEPE,52,ISSIA,Présents,Fille,3289
2016,CEPE,25,KATIOLA,Présents,Fille,3222
2016,CEPE,16,KORHOGO,Présents,Fille,5321
2016,CEPE,17,MAN,Présents,Fille,3698
2016,CEPE,54,MANKONO,Présents,Fille,1878
2016,CEPE,56,MINIGNAN,Présents,Fille,342
2016,CEPE,18,ODIENNE,Présents,Fille,1340
2016,CEPE,19,SAN-PEDRO,Présents,Fille,6762
2016,CEPE,55,SASSANDRA,Présents,Fille,2442
2016,CEPE,29,SEGUELA,Présents,Fille,1494
2016,CEPE,46,SINFRA,Présents,Fille,1948
2016,CEPE,43,SOUBRE,Présents,Fille,7144
2016,CEPE,42,TIASSALE,Présents,Fille,3653
2016,CEPE,35,TOUBA,Présents,Fille,848
2016,CEPE,20,YAMOUSSOUKRO,Présents,Fille,7429
2016,CEPE,11,ABENGOUROU,Présents,Garçon,5267
2016,CEPE,12,ABIDJAN  1,Présents,Garçon,8299
2016,CEPE,31,ABIDJAN  2,Présents,Garçon,10881
2016,CEPE,40,ABIDJAN  3,Présents,Garçon,15335
2016,CEPE,41,ABIDJAN  4,Présents,Garçon,13732
2016,CEPE,21,ABOISSO,Présents,Garçon,4716
